persona_id,journey_index,step_id,phase,action,dwell_seconds,signals,detected_events,intervention,intervention_accepted
franz,5,s1_coverage_scope,Inputs,at_doctor,4.18,dwell,none,none,
franz,5,s2_for_whom,Inputs,myself,5.93,dwell,none,none,
franz,5,s3_personal_data,Inputs,submit,7.69,dwell,none,none,
franz,5,s4_initial_price,Product,abandon,24.02,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,6,s1_coverage_scope,Inputs,at_doctor,8.74,dwell,none,none,
franz,6,s2_for_whom,Inputs,myself,7.0,dwell,none,none,
franz,6,s3_personal_data,Inputs,submit,3.9,dwell,none,none,
franz,6,s4_initial_price,Product,abandon,25.09,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,7,s1_coverage_scope,Inputs,at_doctor,3.9,dwell,none,none,
franz,7,s2_for_whom,Inputs,myself,2.97,dwell,none,none,
franz,7,s3_personal_data,Inputs,submit,11.25,dwell,none,none,
franz,7,s4_initial_price,Product,abandon,23.05,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,8,s1_coverage_scope,Inputs,at_doctor,10.3,dwell,none,none,
franz,8,s2_for_whom,Inputs,myself,7.88,dwell,none,none,
franz,8,s3_personal_data,Inputs,submit,2.93,dwell,none,none,
franz,8,s4_initial_price,Product,select_optimal,10.66,dwell|price_hover,none,none,
franz,8,s5_add_ons,Product,continue,13.65,dwell,none,none,
franz,8,s6_health_questions,Inputs,continue,13.2,dwell,none,none,
franz,8,s7_final_price,Recommendation,confirm,27.69,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,8,s8_confirm,Closing,abandon,9.68,dwell,none,none,
franz,9,s1_coverage_scope,Inputs,at_doctor,8.13,dwell,none,none,
franz,9,s2_for_whom,Inputs,myself,6.03,dwell,none,none,
franz,9,s3_personal_data,Inputs,submit,4.48,dwell,none,none,
franz,9,s4_initial_price,Product,select_optimal,22.72,dwell|price_hover|tariff_click_oos|back_nav,oos_tariff|back_nav,tariff_route_explainer,1
franz,9,s5_add_ons,Product,continue,7.84,dwell,none,none,
franz,9,s6_health_questions,Inputs,continue,4.39,dwell,none,none,
franz,9,s7_final_price,Recommendation,confirm,14.31,dwell|price_hover,price_gap_shock,price_gap_transparency,0
franz,9,s8_confirm,Closing,confirm,3.19,dwell,none,none,
franz,10,s1_coverage_scope,Inputs,at_doctor,7.61,dwell,none,none,
franz,10,s2_for_whom,Inputs,myself,11.99,dwell,none,none,
franz,10,s3_personal_data,Inputs,submit,5.73,dwell,none,none,
franz,10,s4_initial_price,Product,select_optimal,25.08,dwell|price_hover|tariff_click_oos|back_nav,oos_tariff|back_nav|long_dwell|price_fixation,tariff_route_explainer,1
franz,10,s5_add_ons,Product,continue,8.33,dwell,none,none,
franz,10,s6_health_questions,Inputs,continue,12.64,dwell,none,none,
franz,10,s7_final_price,Recommendation,abandon,18.6,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,11,s1_coverage_scope,Inputs,at_doctor,6.05,dwell,none,none,
franz,11,s2_for_whom,Inputs,myself,13.03,dwell,none,none,
franz,11,s3_personal_data,Inputs,submit,9.35,dwell,none,none,
franz,11,s4_initial_price,Product,abandon,23.38,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,12,s1_coverage_scope,Inputs,at_doctor,6.31,dwell,none,none,
franz,12,s2_for_whom,Inputs,myself,10.18,dwell,none,none,
franz,12,s3_personal_data,Inputs,submit,7.48,dwell,none,none,
franz,12,s4_initial_price,Product,abandon,20.03,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,13,s1_coverage_scope,Inputs,at_doctor,8.68,dwell,none,none,
franz,13,s2_for_whom,Inputs,myself,5.41,dwell,none,none,
franz,13,s3_personal_data,Inputs,submit,7.79,dwell,none,none,
franz,13,s4_initial_price,Product,select_optimal,28.92,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,13,s5_add_ons,Product,abandon,18.27,dwell,none,none,
franz,14,s1_coverage_scope,Inputs,at_doctor,9.34,dwell,none,none,
franz,14,s2_for_whom,Inputs,myself,11.0,dwell,none,none,
franz,14,s3_personal_data,Inputs,submit,9.12,dwell,none,none,
franz,14,s4_initial_price,Product,select_optimal,10.14,dwell|price_hover,none,none,
franz,14,s5_add_ons,Product,continue,15.73,dwell,none,none,
franz,14,s6_health_questions,Inputs,continue,9.79,dwell,none,none,
franz,14,s7_final_price,Recommendation,abandon,18.62,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,15,s1_coverage_scope,Inputs,at_doctor,8.19,dwell,none,none,
franz,15,s2_for_whom,Inputs,myself,7.69,dwell,none,none,
franz,15,s3_personal_data,Inputs,submit,7.73,dwell,none,none,
franz,15,s4_initial_price,Product,abandon,15.37,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,16,s1_coverage_scope,Inputs,at_doctor,5.13,dwell,none,none,
franz,16,s2_for_whom,Inputs,myself,10.59,dwell,none,none,
franz,16,s3_personal_data,Inputs,submit,6.31,dwell,none,none,
franz,16,s4_initial_price,Product,abandon,27.91,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,17,s1_coverage_scope,Inputs,at_doctor,10.12,dwell,none,none,
franz,17,s2_for_whom,Inputs,myself,6.15,dwell,none,none,
franz,17,s3_personal_data,Inputs,submit,6.85,dwell,none,none,
franz,17,s4_initial_price,Product,select_optimal,12.32,dwell|price_hover,none,none,
franz,17,s5_add_ons,Product,continue,20.43,dwell,none,none,
franz,17,s6_health_questions,Inputs,continue,11.11,dwell,none,none,
franz,17,s7_final_price,Recommendation,abandon,24.69,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,18,s1_coverage_scope,Inputs,at_doctor,9.38,dwell,none,none,
franz,18,s2_for_whom,Inputs,myself,7.49,dwell,none,none,
franz,18,s3_personal_data,Inputs,submit,10.95,dwell,none,none,
franz,18,s4_initial_price,Product,abandon,32.58,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,19,s1_coverage_scope,Inputs,at_doctor,10.49,dwell,none,none,
franz,19,s2_for_whom,Inputs,myself,4.47,dwell,none,none,
franz,19,s3_personal_data,Inputs,submit,7.13,dwell,none,none,
franz,19,s4_initial_price,Product,abandon,16.59,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,20,s1_coverage_scope,Inputs,at_doctor,8.3,dwell,none,none,
franz,20,s2_for_whom,Inputs,myself,5.16,dwell,none,none,
franz,20,s3_personal_data,Inputs,submit,6.64,dwell,none,none,
franz,20,s4_initial_price,Product,abandon,18.93,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,21,s1_coverage_scope,Inputs,at_doctor,3.24,dwell,none,none,
franz,21,s2_for_whom,Inputs,myself,13.02,dwell,none,none,
franz,21,s3_personal_data,Inputs,submit,6.86,dwell,none,none,
franz,21,s4_initial_price,Product,abandon,24.36,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,22,s1_coverage_scope,Inputs,at_doctor,7.97,dwell,none,none,
franz,22,s2_for_whom,Inputs,myself,6.96,dwell,none,none,
franz,22,s3_personal_data,Inputs,submit,7.45,dwell,none,none,
franz,22,s4_initial_price,Product,abandon,35.39,dwell|price_hover|cancel_hover,long_dwell|price_fixation|cancel_intent,price_reframe,1
franz,23,s1_coverage_scope,Inputs,at_doctor,4.84,dwell,none,none,
franz,23,s2_for_whom,Inputs,myself,10.12,dwell,none,none,
franz,23,s3_personal_data,Inputs,submit,9.79,dwell,none,none,
franz,23,s4_initial_price,Product,abandon,23.43,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,24,s1_coverage_scope,Inputs,at_doctor,7.08,dwell,none,none,
franz,24,s2_for_whom,Inputs,myself,6.89,dwell,none,none,
franz,24,s3_personal_data,Inputs,submit,15.82,dwell,none,none,
franz,24,s4_initial_price,Product,abandon,17.1,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,25,s1_coverage_scope,Inputs,at_doctor,9.75,dwell,none,none,
franz,25,s2_for_whom,Inputs,myself,3.43,dwell,none,none,
franz,25,s3_personal_data,Inputs,submit,9.08,dwell,none,none,
franz,25,s4_initial_price,Product,select_optimal,17.93,dwell|price_hover,none,none,
franz,25,s5_add_ons,Product,abandon,10.82,dwell,none,none,
franz,26,s1_coverage_scope,Inputs,at_doctor,11.43,dwell,none,none,
franz,26,s2_for_whom,Inputs,myself,6.83,dwell,none,none,
franz,26,s3_personal_data,Inputs,submit,8.09,dwell,none,none,
franz,26,s4_initial_price,Product,select_optimal,12.72,dwell|price_hover,none,none,
franz,26,s5_add_ons,Product,continue,5.56,dwell,none,none,
franz,26,s6_health_questions,Inputs,continue,10.04,dwell,none,none,
franz,26,s7_final_price,Recommendation,abandon,26.13,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,27,s1_coverage_scope,Inputs,at_doctor,8.45,dwell,none,none,
franz,27,s2_for_whom,Inputs,myself,8.47,dwell,none,none,
franz,27,s3_personal_data,Inputs,submit,9.86,dwell,none,none,
franz,27,s4_initial_price,Product,abandon,17.77,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,28,s1_coverage_scope,Inputs,at_doctor,8.86,dwell,none,none,
franz,28,s2_for_whom,Inputs,myself,8.9,dwell,none,none,
franz,28,s3_personal_data,Inputs,submit,7.94,dwell,none,none,
franz,28,s4_initial_price,Product,select_optimal,12.97,dwell|price_hover,none,none,
franz,28,s5_add_ons,Product,continue,14.92,dwell,none,none,
franz,28,s6_health_questions,Inputs,continue,6.83,dwell,none,none,
franz,28,s7_final_price,Recommendation,abandon,28.54,dwell|price_hover|cancel_hover|inactivity,cancel_intent,price_gap_transparency,1
franz,29,s1_coverage_scope,Inputs,at_doctor,7.16,dwell,none,none,
franz,29,s2_for_whom,Inputs,myself,13.56,dwell,none,none,
franz,29,s3_personal_data,Inputs,submit,2.96,dwell,none,none,
franz,29,s4_initial_price,Product,select_optimal,6.9,dwell|price_hover,none,none,
franz,29,s5_add_ons,Product,abandon,12.29,dwell,none,none,
franz,30,s1_coverage_scope,Inputs,at_doctor,8.07,dwell,none,none,
franz,30,s2_for_whom,Inputs,myself,15.37,dwell,none,none,
franz,30,s3_personal_data,Inputs,submit,8.19,dwell,none,none,
franz,30,s4_initial_price,Product,select_optimal,20.17,dwell|price_hover,none,none,
franz,30,s5_add_ons,Product,continue,12.38,dwell,none,none,
franz,30,s6_health_questions,Inputs,abandon,29.09,dwell|inactivity,cancel_intent,trust_signal,0
franz,31,s1_coverage_scope,Inputs,at_doctor,8.04,dwell,none,none,
franz,31,s2_for_whom,Inputs,myself,8.24,dwell,none,none,
franz,31,s3_personal_data,Inputs,submit,10.44,dwell,none,none,
franz,31,s4_initial_price,Product,select_optimal,10.61,dwell|price_hover,none,none,
franz,31,s5_add_ons,Product,continue,14.41,dwell,none,none,
franz,31,s6_health_questions,Inputs,continue,4.15,dwell,none,none,
franz,31,s7_final_price,Recommendation,abandon,28.72,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,32,s1_coverage_scope,Inputs,at_doctor,6.15,dwell,none,none,
franz,32,s2_for_whom,Inputs,myself,12.36,dwell,none,none,
franz,32,s3_personal_data,Inputs,submit,4.4,dwell,none,none,
franz,32,s4_initial_price,Product,abandon,21.32,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,33,s1_coverage_scope,Inputs,at_doctor,6.89,dwell,none,none,
franz,33,s2_for_whom,Inputs,myself,8.57,dwell,none,none,
franz,33,s3_personal_data,Inputs,submit,7.66,dwell,none,none,
franz,33,s4_initial_price,Product,select_optimal,19.15,dwell|price_hover,none,none,
franz,33,s5_add_ons,Product,continue,16.38,dwell,none,none,
franz,33,s6_health_questions,Inputs,continue,8.99,dwell,none,none,
franz,33,s7_final_price,Recommendation,confirm,31.63,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,33,s8_confirm,Closing,confirm,4.78,dwell,none,none,
franz,34,s1_coverage_scope,Inputs,at_doctor,11.99,dwell,none,none,
franz,34,s2_for_whom,Inputs,myself,8.34,dwell,none,none,
franz,34,s3_personal_data,Inputs,submit,11.4,dwell,none,none,
franz,34,s4_initial_price,Product,abandon,26.94,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,35,s1_coverage_scope,Inputs,at_doctor,7.8,dwell,none,none,
franz,35,s2_for_whom,Inputs,myself,6.72,dwell,none,none,
franz,35,s3_personal_data,Inputs,submit,2.0,dwell,none,none,
franz,35,s4_initial_price,Product,abandon,24.14,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,36,s1_coverage_scope,Inputs,at_doctor,13.35,dwell,none,none,
franz,36,s2_for_whom,Inputs,myself,12.05,dwell,none,none,
franz,36,s3_personal_data,Inputs,submit,5.2,dwell,none,none,
franz,36,s4_initial_price,Product,abandon,23.52,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,37,s1_coverage_scope,Inputs,at_doctor,7.07,dwell,none,none,
franz,37,s2_for_whom,Inputs,myself,10.03,dwell,none,none,
franz,37,s3_personal_data,Inputs,submit,10.88,dwell,none,none,
franz,37,s4_initial_price,Product,select_optimal,19.26,dwell|price_hover|tariff_click_oos|back_nav,oos_tariff|back_nav,tariff_route_explainer,1
franz,37,s5_add_ons,Product,continue,23.2,dwell,none,none,
franz,37,s6_health_questions,Inputs,continue,4.91,dwell,none,none,
franz,37,s7_final_price,Recommendation,confirm,25.16,dwell|price_hover,long_dwell|price_fixation,none,
franz,37,s8_confirm,Closing,confirm,9.67,dwell,none,none,
franz,38,s1_coverage_scope,Inputs,at_doctor,6.89,dwell,none,none,
franz,38,s2_for_whom,Inputs,myself,7.04,dwell,none,none,
franz,38,s3_personal_data,Inputs,submit,8.85,dwell,none,none,
franz,38,s4_initial_price,Product,abandon,24.8,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,39,s1_coverage_scope,Inputs,at_doctor,9.78,dwell,none,none,
franz,39,s2_for_whom,Inputs,myself,9.61,dwell,none,none,
franz,39,s3_personal_data,Inputs,submit,8.82,dwell,none,none,
franz,39,s4_initial_price,Product,abandon,24.6,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,40,s1_coverage_scope,Inputs,at_doctor,8.88,dwell,none,none,
franz,40,s2_for_whom,Inputs,myself,11.07,dwell,none,none,
franz,40,s3_personal_data,Inputs,submit,16.59,dwell,none,none,
franz,40,s4_initial_price,Product,abandon,30.15,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,41,s1_coverage_scope,Inputs,at_doctor,10.18,dwell,none,none,
franz,41,s2_for_whom,Inputs,myself,8.39,dwell,none,none,
franz,41,s3_personal_data,Inputs,submit,3.91,dwell,none,none,
franz,41,s4_initial_price,Product,select_optimal,37.08,dwell|price_hover|cancel_hover,long_dwell|price_fixation|cancel_intent,price_reframe,1
franz,41,s5_add_ons,Product,continue,15.11,dwell,none,none,
franz,41,s6_health_questions,Inputs,continue,4.74,dwell,none,none,
franz,41,s7_final_price,Recommendation,confirm,4.8,dwell|price_hover,none,none,
franz,41,s8_confirm,Closing,confirm,10.33,dwell,none,none,
franz,42,s1_coverage_scope,Inputs,at_doctor,2.0,dwell,none,none,
franz,42,s2_for_whom,Inputs,myself,2.06,dwell,none,none,
franz,42,s3_personal_data,Inputs,submit,8.82,dwell,none,none,
franz,42,s4_initial_price,Product,select_optimal,9.57,dwell|price_hover,none,none,
franz,42,s5_add_ons,Product,continue,11.44,dwell,none,none,
franz,42,s6_health_questions,Inputs,continue,9.04,dwell,none,none,
franz,42,s7_final_price,Recommendation,abandon,20.55,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,0
franz,43,s1_coverage_scope,Inputs,at_doctor,6.74,dwell,none,none,
franz,43,s2_for_whom,Inputs,myself,17.21,dwell,none,none,
franz,43,s3_personal_data,Inputs,submit,10.36,dwell,none,none,
franz,43,s4_initial_price,Product,abandon,33.51,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,44,s1_coverage_scope,Inputs,at_doctor,8.92,dwell,none,none,
franz,44,s2_for_whom,Inputs,myself,9.13,dwell,none,none,
franz,44,s3_personal_data,Inputs,submit,10.01,dwell,none,none,
franz,44,s4_initial_price,Product,abandon,23.33,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,45,s1_coverage_scope,Inputs,at_doctor,6.0,dwell,none,none,
franz,45,s2_for_whom,Inputs,myself,5.63,dwell,none,none,
franz,45,s3_personal_data,Inputs,submit,7.15,dwell,none,none,
franz,45,s4_initial_price,Product,select_optimal,27.03,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,45,s5_add_ons,Product,continue,10.77,dwell,none,none,
franz,45,s6_health_questions,Inputs,continue,7.55,dwell,none,none,
franz,45,s7_final_price,Recommendation,abandon,21.92,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,46,s1_coverage_scope,Inputs,at_doctor,11.12,dwell,none,none,
franz,46,s2_for_whom,Inputs,myself,5.22,dwell,none,none,
franz,46,s3_personal_data,Inputs,submit,7.04,dwell,none,none,
franz,46,s4_initial_price,Product,abandon,20.37,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,47,s1_coverage_scope,Inputs,at_doctor,6.86,dwell,none,none,
franz,47,s2_for_whom,Inputs,myself,6.5,dwell,none,none,
franz,47,s3_personal_data,Inputs,submit,10.24,dwell,none,none,
franz,47,s4_initial_price,Product,abandon,26.06,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,48,s1_coverage_scope,Inputs,at_doctor,9.19,dwell,none,none,
franz,48,s2_for_whom,Inputs,myself,6.96,dwell,none,none,
franz,48,s3_personal_data,Inputs,submit,12.2,dwell,none,none,
franz,48,s4_initial_price,Product,select_optimal,18.83,dwell|price_hover|tariff_click_oos|back_nav,oos_tariff|back_nav,tariff_route_explainer,1
franz,48,s5_add_ons,Product,continue,13.84,dwell,none,none,
franz,48,s6_health_questions,Inputs,continue,12.91,dwell,none,none,
franz,48,s7_final_price,Recommendation,abandon,26.97,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,49,s1_coverage_scope,Inputs,at_doctor,8.86,dwell,none,none,
franz,49,s2_for_whom,Inputs,myself,3.94,dwell,none,none,
franz,49,s3_personal_data,Inputs,submit,4.51,dwell,none,none,
franz,49,s4_initial_price,Product,abandon,21.25,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,50,s1_coverage_scope,Inputs,at_doctor,8.02,dwell,none,none,
franz,50,s2_for_whom,Inputs,myself,4.6,dwell,none,none,
franz,50,s3_personal_data,Inputs,submit,9.17,dwell,none,none,
franz,50,s4_initial_price,Product,select_optimal,18.13,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,50,s5_add_ons,Product,abandon,19.94,dwell,none,none,
franz,51,s1_coverage_scope,Inputs,at_doctor,12.11,dwell,none,none,
franz,51,s2_for_whom,Inputs,myself,7.38,dwell,none,none,
franz,51,s3_personal_data,Inputs,submit,8.16,dwell,none,none,
franz,51,s4_initial_price,Product,select_optimal,28.55,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,51,s5_add_ons,Product,continue,19.12,dwell,none,none,
franz,51,s6_health_questions,Inputs,continue,7.53,dwell,none,none,
franz,51,s7_final_price,Recommendation,confirm,22.48,dwell|price_hover,price_gap_shock,price_gap_transparency,1
franz,51,s8_confirm,Closing,confirm,4.52,dwell,none,none,
franz,52,s1_coverage_scope,Inputs,at_doctor,9.64,dwell,none,none,
franz,52,s2_for_whom,Inputs,myself,3.26,dwell,none,none,
franz,52,s3_personal_data,Inputs,submit,3.18,dwell,none,none,
franz,52,s4_initial_price,Product,select_optimal,28.2,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,52,s5_add_ons,Product,continue,15.86,dwell,none,none,
franz,52,s6_health_questions,Inputs,continue,6.78,dwell,none,none,
franz,52,s7_final_price,Recommendation,confirm,24.36,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,52,s8_confirm,Closing,abandon,6.85,dwell,none,none,
franz,53,s1_coverage_scope,Inputs,at_doctor,5.02,dwell,none,none,
franz,53,s2_for_whom,Inputs,myself,8.79,dwell,none,none,
franz,53,s3_personal_data,Inputs,submit,5.12,dwell,none,none,
franz,53,s4_initial_price,Product,abandon,26.7,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,54,s1_coverage_scope,Inputs,at_doctor,12.57,dwell,none,none,
franz,54,s2_for_whom,Inputs,myself,14.61,dwell,none,none,
franz,54,s3_personal_data,Inputs,submit,10.38,dwell,none,none,
franz,54,s4_initial_price,Product,select_optimal,19.49,dwell|price_hover,none,none,
franz,54,s5_add_ons,Product,abandon,22.07,dwell,none,none,
franz,55,s1_coverage_scope,Inputs,at_doctor,5.25,dwell,none,none,
franz,55,s2_for_whom,Inputs,myself,6.18,dwell,none,none,
franz,55,s3_personal_data,Inputs,submit,6.44,dwell,none,none,
franz,55,s4_initial_price,Product,select_optimal,20.72,dwell|price_hover,none,none,
franz,55,s5_add_ons,Product,continue,14.85,dwell,none,none,
franz,55,s6_health_questions,Inputs,continue,10.03,dwell,none,none,
franz,55,s7_final_price,Recommendation,abandon,34.38,dwell|price_hover|cancel_hover|inactivity,cancel_intent,price_gap_transparency,1
franz,56,s1_coverage_scope,Inputs,at_doctor,8.55,dwell,none,none,
franz,56,s2_for_whom,Inputs,myself,7.9,dwell,none,none,
franz,56,s3_personal_data,Inputs,submit,8.41,dwell,none,none,
franz,56,s4_initial_price,Product,abandon,23.1,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,57,s1_coverage_scope,Inputs,at_doctor,10.77,dwell,none,none,
franz,57,s2_for_whom,Inputs,myself,8.55,dwell,none,none,
franz,57,s3_personal_data,Inputs,submit,11.99,dwell,none,none,
franz,57,s4_initial_price,Product,select_optimal,15.55,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,57,s5_add_ons,Product,continue,8.79,dwell,none,none,
franz,57,s6_health_questions,Inputs,continue,3.25,dwell,none,none,
franz,57,s7_final_price,Recommendation,confirm,23.04,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,57,s8_confirm,Closing,confirm,8.13,dwell,none,none,
franz,58,s1_coverage_scope,Inputs,at_doctor,8.32,dwell,none,none,
franz,58,s2_for_whom,Inputs,myself,9.9,dwell,none,none,
franz,58,s3_personal_data,Inputs,submit,7.93,dwell,none,none,
franz,58,s4_initial_price,Product,abandon,30.62,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,59,s1_coverage_scope,Inputs,at_doctor,6.9,dwell,none,none,
franz,59,s2_for_whom,Inputs,myself,15.58,dwell,none,none,
franz,59,s3_personal_data,Inputs,submit,9.81,dwell,none,none,
franz,59,s4_initial_price,Product,abandon,16.68,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,60,s1_coverage_scope,Inputs,at_doctor,10.2,dwell,none,none,
franz,60,s2_for_whom,Inputs,myself,5.97,dwell,none,none,
franz,60,s3_personal_data,Inputs,submit,9.37,dwell,none,none,
franz,60,s4_initial_price,Product,abandon,25.64,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,61,s1_coverage_scope,Inputs,at_doctor,3.36,dwell,none,none,
franz,61,s2_for_whom,Inputs,myself,9.36,dwell,none,none,
franz,61,s3_personal_data,Inputs,submit,14.69,dwell,none,none,
franz,61,s4_initial_price,Product,abandon,27.67,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,62,s1_coverage_scope,Inputs,at_doctor,6.39,dwell,none,none,
franz,62,s2_for_whom,Inputs,myself,9.18,dwell,none,none,
franz,62,s3_personal_data,Inputs,submit,5.84,dwell,none,none,
franz,62,s4_initial_price,Product,abandon,20.89,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,63,s1_coverage_scope,Inputs,hospital,13.6,dwell|path_oos,oos_path,advisor_route,
franz,64,s1_coverage_scope,Inputs,at_doctor,7.15,dwell,none,none,
franz,64,s2_for_whom,Inputs,myself,3.86,dwell,none,none,
franz,64,s3_personal_data,Inputs,submit,11.56,dwell,none,none,
franz,64,s4_initial_price,Product,abandon,20.05,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,65,s1_coverage_scope,Inputs,at_doctor,6.92,dwell,none,none,
franz,65,s2_for_whom,Inputs,myself,9.16,dwell,none,none,
franz,65,s3_personal_data,Inputs,submit,8.68,dwell,none,none,
franz,65,s4_initial_price,Product,select_optimal,21.22,dwell|price_hover,none,none,
franz,65,s5_add_ons,Product,continue,10.27,dwell,none,none,
franz,65,s6_health_questions,Inputs,continue,12.01,dwell,none,none,
franz,65,s7_final_price,Recommendation,abandon,27.58,dwell|price_hover|cancel_hover|inactivity,cancel_intent|price_gap_shock,price_gap_transparency,1
franz,66,s1_coverage_scope,Inputs,at_doctor,8.12,dwell,none,none,
franz,66,s2_for_whom,Inputs,myself,13.44,dwell,none,none,
franz,66,s3_personal_data,Inputs,submit,5.42,dwell,none,none,
